fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.9,0.33,0.28,1.3,0.051,37.0,187.0,0.9927,3.27,0.6,10.3,5
6.5,0.17,0.54,8.5,0.082,64.0,163.0,0.9959,2.89,0.39,8.8,6
7.2,0.27,0.46,18.75,0.052,45.0,255.0,1.0,3.04,0.52,8.9,5
7.2,0.31,0.5,13.3,0.056,68.0,195.0,0.9982,3.01,0.47,9.2,5
6.7,0.41,0.34,9.2,0.049,29.0,150.0,0.9968,3.22,0.51,9.1,5
6.7,0.41,0.34,9.2,0.049,29.0,150.0,0.9968,3.22,0.51,9.1,5
5.5,0.485,0.0,1.5,0.065,8.0,103.0,0.994,3.63,0.4,9.7,4
6.0,0.31,0.24,3.3,0.041,25.0,143.0,0.9914,3.31,0.44,11.3,6
7.0,0.14,0.4,1.7,0.035,16.0,85.0,0.9911,3.19,0.42,11.8,6
7.2,0.31,0.5,13.3,0.056,68.0,195.0,0.9982,3.01,0.47,9.2,5
7.3,0.32,0.48,13.3,0.06,57.0,196.0,0.9982,3.04,0.5,9.2,5
5.9,0.36,0.04,5.7,0.046,21.0,87.0,0.9934,3.22,0.51,10.2,5
7.8,0.24,0.32,12.2,0.054,42.0,138.0,0.9984,3.01,0.54,8.8,5
7.4,0.16,0.31,6.85,0.059,31.0,131.0,0.9952,3.29,0.34,9.7,5
6.9,0.19,0.28,5.0,0.058,14.0,146.0,0.9952,3.29,0.36,9.1,6
6.4,0.13,0.47,1.6,0.092,40.0,158.0,0.9928,3.21,0.36,9.8,6
6.7,0.19,0.36,1.1,0.026,63.0,143.0,0.9912,3.27,0.48,11.0,6
7.4,0.39,0.23,7.0,0.033,29.0,126.0,0.994,3.14,0.42,10.5,5
6.5,0.24,0.32,7.6,0.038,48.0,203.0,0.9958,3.45,0.54,9.7,7
6.1,0.3,0.56,2.8,0.044,47.0,179.0,0.9924,3.3,0.57,10.9,7
6.1,0.3,0.56,2.7,0.046,46.0,184.0,0.9924,3.31,0.57,10.9,6
5.7,0.26,0.25,10.4,0.02,7.0,57.0,0.994,3.39,0.37,10.6,5
6.5,0.24,0.32,7.6,0.038,48.0,203.0,0.9958,3.45,0.54,9.7,7
6.5,0.425,0.4,13.1,0.038,59.0,241.0,0.9979,3.23,0.57,9.0,5
6.6,0.24,0.27,15.8,0.035,46.0,188.0,0.9982,3.24,0.51,9.2,5
6.8,0.27,0.22,8.1,0.034,55.0,203.0,0.9961,3.19,0.52,8.9,5
6.7,0.27,0.31,15.7,0.036,44.0,179.0,0.9979,3.26,0.56,9.6,5
8.2,0.23,0.4,1.2,0.027,36.0,121.0,0.992,3.12,0.38,10.7,6
7.1,0.37,0.67,10.5,0.045,49.0,155.0,0.9975,3.16,0.44,8.7,5
6.8,0.19,0.36,1.9,0.035,30.0,96.0,0.9917,3.15,0.54,10.8,7
8.1,0.28,0.39,1.9,0.029,18.0,79.0,0.9923,3.218395499383477,0.52,11.8,6
6.3,0.31,0.34,2.2,0.045,20.0,77.0,0.9927,3.3,0.43,10.2,5
7.1,0.37,0.67,10.5,0.045,49.0,155.0,0.9975,3.16,0.44,8.7,5
7.9,0.21,0.4,1.2,0.039,38.0,107.0,0.992,3.21,0.54,10.8,6
8.5,0.21,0.41,4.3,0.036,24.0,99.0,0.9947,3.18,0.53,9.7,6
8.1,0.2,0.4,2.0,0.037,19.0,87.0,0.9921,3.12,0.54,11.2,6
6.3,0.255,0.37,1.1,0.04,37.0,114.0,0.9905,3.0,0.39,10.9,6
5.6,0.16,0.27,1.4,0.044,53.0,168.0,0.9918,3.28,0.37,10.1,6
6.4,0.595,0.14,5.2,0.058,15.0,97.0,0.9951,3.38,0.36,9.0,4
6.3,0.34,0.33,4.6,0.034,19.0,80.0,0.9917,3.38,0.58,12.0,7
6.9,0.25,0.3,4.1,0.054,23.0,116.0,0.994,2.99,0.38,9.4,6
7.9,0.22,0.38,8.0,0.043,46.0,152.0,0.9934,3.12,0.32,11.5,7
7.6,0.18,0.46,10.2,0.055,58.0,135.0,0.9968,3.14,0.43,9.9,6
6.9,0.25,0.3,4.1,0.054,23.0,116.0,0.994,2.99,0.38,9.4,6
7.2,0.18,0.41,1.2,0.048,41.0,97.0,0.9919,3.14,0.45,10.4,5
8.2,0.23,0.4,7.5,0.049,12.0,76.0,0.9966,3.06,0.84,9.7,6
7.4,0.24,0.42,14.0,0.066,48.0,198.0,0.9979,2.89,0.42,8.9,6
7.4,0.24,0.42,14.0,0.066,48.0,198.0,0.9979,2.89,0.42,8.9,6
6.1,0.32,0.24,1.5,0.036,38.0,124.0,0.9898,3.29,0.42,12.4,7
5.2,0.44,0.04,1.4,0.036,43.0,119.0,0.9894,3.36,0.33,12.1,8
5.2,0.44,0.04,1.4,0.036,43.0,119.0,0.9894,3.36,0.33,12.1,8
6.1,0.32,0.24,1.5,0.036,38.0,124.0,0.9898,3.29,0.42,12.4,7
6.4,0.22,0.56,14.5,0.055,27.0,159.0,0.998,2.98,0.4,9.1,5
6.3,0.36,0.3,4.8,0.049,14.0,85.0,0.9932,3.28,0.39,10.6,5
7.4,0.24,0.42,14.0,0.066,48.0,198.0,0.9979,2.89,0.42,8.9,6
6.7,0.24,0.35,13.1,0.05,64.0,205.0,0.997,3.15,0.5,9.5,5
7.0,0.23,0.36,13.0,0.051,72.0,177.0,0.9972,3.16,0.49,9.8,5
8.4,0.27,0.46,8.7,0.048,39.0,197.0,0.9974,3.14,0.59,9.6,6
6.7,0.46,0.18,2.4,0.034,25.0,98.0,0.9896,3.08,0.44,12.6,7
7.5,0.29,0.31,8.95,0.055,20.0,151.0,0.9968,3.08,0.54,9.3,5
9.8,0.42,0.48,9.85,0.034,5.0,110.0,0.9958,2.87,0.29,10.0,5
7.1,0.3,0.46,1.5,0.066,29.0,133.0,0.9906,3.12,0.54,12.7,6
7.9,0.19,0.45,1.5,0.045,17.0,96.0,0.9917,3.13,0.39,11.0,6
7.6,0.48,0.37,0.8,0.037,4.0,100.0,0.9902,3.03,0.39,11.4,4
6.3,0.22,0.43,4.55,0.038,31.0,130.0,0.9918,3.35,0.33,11.5,7
7.2165793124710955,0.27,0.31,17.7,0.051,33.0,173.0,0.999,3.09,0.64,10.2,5
6.9,0.23,0.4,7.5,0.04,50.0,151.0,0.9927,3.11,0.27,11.4,6
7.2,0.32,0.47,5.1,0.044,19.0,65.0,0.991,3.03,0.41,12.6,4
5.9,0.23,0.3,12.9,0.054,57.0,170.0,0.9972,3.28,0.39,9.4,5
6.0,0.67,0.07,1.2,0.06,9.0,108.0,0.9931,3.11,0.35,8.7,4
6.4,0.25,0.32,5.5,0.049,41.0,176.0,0.995,3.19,0.68,9.2,6
6.4,0.33,0.31,5.5,0.048,42.0,173.0,0.9951,3.19,0.66,9.3,6
7.1,0.34,0.15,1.2,0.053,61.0,183.0,0.9936,3.09,0.43,9.2,5
6.8,0.28,0.4,22.0,0.048,48.0,167.0,1.001,2.93,0.5,8.7,5
6.9,0.27,0.4,14.0,0.05,64.0,227.0,0.9979,3.18,0.58,9.6,6
6.8,0.26,0.56,11.9,0.043,64.0,226.0,0.997,3.02,0.63,9.3,5
6.8,0.29,0.56,11.9,0.043,66.0,230.0,0.9972,3.02,0.63,9.3,5
6.7,0.24,0.41,9.4,0.04,49.0,166.0,0.9954,3.12,0.61,9.9,6
5.9,0.3,0.23,4.2,0.038,42.0,119.0,0.9924,3.15,0.5,11.0,5
6.8,0.53,0.35,3.8,0.034,26.0,109.0,0.9906,3.26,0.57,12.7,8
6.5,0.28,0.28,8.5,0.047,54.0,210.0,0.9962,3.09,0.54,8.9,4
6.6,0.28,0.28,8.5,0.052,55.0,211.0,0.9962,3.09,0.55,8.9,6
6.8,0.28,0.4,22.0,0.048,48.0,167.0,1.001,2.93,0.5,8.7,5
6.8,0.28,0.36,8.0,0.045,28.0,123.0,0.9928,3.02,0.37,11.4,6
6.6,0.15,0.34,5.1,0.055,34.0,125.0,0.9942,3.36,0.42,9.6,5
6.4,0.29,0.44,3.6,0.2,75.0,181.0,0.9942,3.02,0.41,9.1,5
6.4,0.3,0.45,3.5,0.197,76.0,180.0,0.9942,3.02,0.39,9.1,6
6.4,0.29,0.44,3.6,0.197,75.0,183.0,0.9942,3.01,0.38,9.1,5
6.8,0.26,0.24,7.8,0.052,54.0,214.0,0.9961,3.13,0.47,8.9,5
7.1,0.32,0.24,13.1,0.05,52.0,204.0,0.998,3.1,0.49,8.8,5
6.8,0.26,0.24,7.8,0.052,54.0,214.0,0.9961,3.13,0.47,8.9,5
6.8,0.27,0.26,16.1,0.049,55.0,196.0,0.9984,3.15,0.5,9.3,5
7.1,0.32,0.24,13.1,0.05,52.0,204.0,0.998,3.1,0.49,8.8,5
6.9,0.54,0.32,13.2,0.05,53.0,236.0,0.9973,3.2,0.5,9.6,5
6.8,0.26,0.34,13.9,0.034,39.0,134.0,0.9949,3.33,0.53,12.0,6
5.8,0.28,0.35,2.3,0.053,36.0,114.0,0.9924,3.28,0.5,10.2,4
6.4,0.21,0.5,11.6,0.042,45.0,153.0,0.9972,3.15,0.43,8.8,5
7.0,0.16,0.32,8.3,0.045,38.0,126.0,0.9958,3.21,0.34,9.2,5
10.2,0.44,0.88,6.2,0.049,20.0,124.0,0.9968,2.99,0.51,9.9,4
6.8,0.57,0.29,2.2,0.04,15.0,77.0,0.9938,3.32,0.74,10.2,5
6.1,0.4,0.31,0.9,0.048,23.0,170.0,0.993,3.22,0.77,9.5,6
5.6,0.245,0.25,9.7,0.032,12.0,68.0,0.994,3.31,0.34,10.5,5
6.8,0.18,0.38,1.4,0.038,35.0,111.0,0.9918,3.32,0.59,11.2,7
7.0,0.16,0.32,8.3,0.045,38.0,126.0,0.9958,3.21,0.34,9.2,5
6.7,0.13,0.29,5.3,0.051,31.0,122.0,0.9944,3.44,0.37,9.7,6
6.2,0.25,0.25,1.4,0.03,35.0,105.0,0.9912,3.3,0.44,11.1,7
5.8,0.26,0.24,9.2,0.044,55.0,152.0,0.9961,3.31,0.38,9.4,5
7.5,0.27,0.36,7.0,0.036,45.0,164.0,0.9939,3.03,0.33,11.0,5
5.8,0.26,0.24,9.2,0.044,55.0,152.0,0.9961,3.31,0.38,9.4,5
5.7,0.28,0.24,17.5,0.044,60.0,167.0,0.9989,3.31,0.44,9.4,5
7.5,0.23,0.36,7.0,0.036,43.0,161.0,0.9938,3.04,0.32,11.0,5
7.5,0.27,0.36,7.0,0.036,45.0,164.0,0.9939,3.03,0.33,11.0,5
7.2,0.685,0.21,9.5,0.07,33.0,172.0,0.9971,3.0,0.55,9.1,6
6.2,0.25,0.25,1.4,0.03,35.0,105.0,0.9912,3.3,0.44,11.1,7
6.5,0.19,0.3,0.8,0.043,33.0,144.0,0.9936,3.42,0.39,9.1,6
6.3,0.495,0.22,1.8,0.046,31.0,140.0,0.9929,3.39,0.531215154782073,10.4,6
7.1,0.24,0.41,17.8,0.046,39.0,145.0,0.9998,3.32,0.39,8.7,5
6.4,0.17,0.32,2.4,0.048,41.0,200.0,0.9938,3.5,0.5,9.7,6
7.1,0.25,0.32,10.3,0.041,66.0,272.0,0.9969,3.17,0.52,9.1,6
6.4,0.17,0.32,2.4,0.048,41.0,200.0,0.9938,3.5,0.5,9.7,6
7.1,0.24,0.41,17.8,0.046,39.0,145.0,0.9998,3.32,0.39,8.7,5
6.8,0.64,0.08,9.7,0.062,26.0,142.0,0.9972,3.37,0.46,8.9,4
8.3,0.28,0.4,7.8,0.041,38.0,194.0,0.9976,3.34,0.51,9.6,6
8.2,0.27,0.39,7.8,0.039,49.0,208.0,0.9976,3.31,0.51,9.5,6
7.2,0.23,0.38,14.3,0.058,55.0,194.0,0.9979,3.09,0.44,9.0,6
7.2,0.23,0.38,14.3,0.058,55.0,194.0,0.9979,3.09,0.44,9.0,6
7.2,0.23,0.38,14.3,0.058,55.0,194.0,0.9979,3.09,0.44,9.0,6
7.2,0.23,0.38,14.3,0.058,55.0,194.0,0.9979,3.09,0.44,9.0,6
6.8,0.52,0.32,13.2,0.044,54.0,221.0,0.9972,3.27,0.5,9.6,6
7.0,0.26,0.59,1.4,0.037,40.0,120.0,0.9918,3.34,0.41,11.1,7
6.2,0.25,0.21,15.55,0.039,28.0,159.0,0.9982,3.48,0.64,9.6,6
7.3,0.32,0.23,13.7,0.05,49.0,197.0,0.9985,3.2,0.46,8.7,5
7.7,0.31,0.26,7.8,0.031,23.0,90.0,0.9944,3.13,0.5,10.4,5
7.1,0.21,0.37,2.4,0.026,23.0,100.0,0.9903,3.15,0.38,11.4,7
6.8,0.24,0.34,2.7,0.047,64.5,218.5,0.9934,3.3,0.58,9.7,6
6.9,0.4,0.56,11.2,0.043,40.0,142.0,0.9975,3.14,0.46,8.7,5
6.1,0.18,0.36,2.0,0.038,20.0,249.5,0.9923,3.37,0.79,11.3,6
6.8,0.21,0.27,2.1,0.03,26.0,139.0,0.99,3.16,0.61,12.6,7
5.8,0.2,0.27,1.4,0.031,12.0,77.0,0.9905,3.25,0.36,10.9,7
5.6,0.19,0.26,1.4,0.03,12.0,76.0,0.9905,3.25,0.37,10.9,7
7.2165793124710955,0.41,0.14,10.4,0.037,18.0,119.0,0.996,3.38,0.45,10.0,5
5.9,0.21,0.28,4.6,0.053,40.0,199.0,0.9964,3.72,0.7,10.0,4
8.5,0.26,0.21,16.2,0.074,41.0,197.0,0.998,3.02,0.5,9.8,3
6.9,0.4,0.56,11.2,0.043,40.0,142.0,0.9975,3.14,0.46,8.7,5
5.8,0.24,0.44,3.5,0.029,5.0,109.0,0.9913,3.53,0.43,11.7,3
5.8,0.24,0.39,1.5,0.054,37.0,158.0,0.9932,3.21,0.52,9.3,6
6.7,0.26,0.39,1.1,0.04,45.0,147.0,0.9935,3.32,0.58,9.6,8
6.3,0.35,0.3,5.7,0.035,8.0,97.0,0.9927,3.27,0.41,11.0,7
6.3,0.35,0.3,5.7,0.035,8.0,97.0,0.9927,3.27,0.41,11.0,7
6.4,0.23,0.39,1.8,0.032,23.0,118.0,0.9912,3.32,0.5,11.8,6
5.8,0.36,0.38,0.9,0.037,3.0,75.0,0.9904,3.28,0.34,11.4,4
6.9,0.115,0.35,5.4,0.048,36.0,108.0,0.9939,3.32,0.42,10.2,6
6.9,0.29,0.4,19.45,0.043,36.0,156.0,0.9996,2.93,0.47,8.9,5
6.9,0.28,0.4,8.2,0.036,15.0,95.0,0.9944,3.17,0.33,10.2,5
7.2,0.29,0.4,13.6,0.045,66.0,231.0,0.9977,3.08,0.59,9.6,6
6.2,0.24,0.35,1.2,0.038,22.0,167.0,0.9912,3.1,0.48,10.6,6
6.9,0.29,0.4,19.45,0.043,36.0,156.0,0.9996,2.93,0.47,8.9,5
6.9,0.32,0.26,8.3,0.053,32.0,180.0,0.9965,3.25,0.51,9.2,6
7.2165793124710955,0.58,0.07,6.9,0.043,34.0,149.0,0.9944,3.34,0.57,9.7,5
5.3,0.585,0.3187218971358176,7.1,0.044,34.0,145.0,0.9945,3.34,0.57,9.7,6
5.4,0.59,0.07,7.0,0.045,36.0,147.0,0.9944,3.34,0.57,9.7,6
6.9,0.32,0.26,8.3,0.053,32.0,180.0,0.9965,3.25,0.51,9.2,6
5.2,0.6,0.07,7.0,0.044,33.0,147.0,0.9944,3.33,0.58,9.7,5
5.8,0.25,0.26,13.1,0.051,44.0,148.0,0.9972,3.29,0.38,9.3,5
6.6,0.58,0.3,5.1,0.057,30.0,123.0,0.9949,3.24,0.38,9.0,5
7.0,0.29,0.54,10.7,0.046,59.0,234.0,0.9966,3.05,0.61,9.5,5
6.6,0.19,0.41,8.9,0.046,51.0,169.0,0.9954,3.14,0.57,9.8,6
6.7,0.2,0.41,9.1,0.044,50.0,166.0,0.9954,3.14,0.58,9.8,6
7.7,0.26,0.4,1.1,0.042,9.0,60.0,0.9915,2.89,0.5,10.6,5
6.8,0.32,0.34,1.2,0.044,14.0,67.0,0.9919,3.05,0.47,10.6,4
7.0,0.3,0.49,4.7,0.036,17.0,105.0,0.9916,3.26,0.68,12.4,7
7.0,0.24,0.36,2.8,0.034,22.0,112.0,0.99,3.19,0.38,12.6,8
6.1,0.31,0.58,5.0,0.039,36.0,114.0,0.9909,3.3,0.6,12.3,8
6.8,0.44,0.37,5.1,0.047,46.0,201.0,0.9938,3.08,0.65,10.5,4
6.7,0.34,0.3,15.6,0.054,51.0,196.0,0.9982,3.19,0.49,9.3,5
7.1,0.35,0.24,15.4,0.055,46.0,198.0,0.9988,3.12,0.49,8.8,5
7.3,0.32,0.25,7.2,0.056,47.0,180.0,0.9961,3.08,0.47,8.8,5
6.5,0.28,0.33,15.7,0.053,51.0,190.0,0.9978,3.22,0.51,9.7,6
7.2,0.23,0.39,14.2,0.058,49.0,192.0,0.9979,2.98,0.48,9.0,7
7.2,0.23,0.39,14.2,0.058,49.0,192.0,0.9979,2.98,0.48,9.0,7
7.2,0.23,0.39,14.2,0.058,49.0,192.0,0.9979,2.98,0.48,9.0,7
7.2,0.23,0.39,14.2,0.058,49.0,192.0,0.9979,2.98,0.48,9.0,7
5.9,0.15,0.31,5.8,0.041,53.0,155.0,0.9945,3.52,0.46,10.5,6
7.4,0.28,0.42,19.8,0.066,53.0,195.0,1.0,2.96,0.44,9.1,5
6.2,0.28,0.22,7.3,0.041,26.0,157.0,0.9957,3.44,0.64,9.8,7
